,pitcher,mean_fb_velo,mean_fb_spin,release_speed,release_spin_rate,corr_pitch_fb_release_speed,corr_pitch_fb_release_spin_rate,corr_pitch_sec_release_speed,corr_pitch_sec_release_spin_rate,corr_at_bat_fb_release_speed,corr_at_bat_fb_release_spin_rate,corr_at_bat_sec_release_speed,corr_at_bat_sec_release_spin_rate,fb_release_speed_threshold_drop,player_name,fb_release_spin_rate_threshold_drop,sec_release_speed_threshold_drop,sec_release_spin_rate_threshold_drop,role_key
968,670950,92.95091122868901,2225.7873222748817,83.39676567656765,2531.9508632138113,0.06750299534091561,-0.0701916475521232,0.1906297883525566,-0.07566331796292175,-0.1982464863535054,-0.0020235807541567254,-0.024209598611474537,0.0020987846031970615,13.391812865497077,"Richards, Trevor",13.257309941520468,14.891566265060241,14.114457831325302,RP
969,670955,92.27142857142857,2357.714285714286,93.21705882352941,2349.0911764705884,-0.023993858358294796,-0.7032109008103611,0.24006842685704902,0.10751181697756687,0.6516926622961142,-0.4196977915919456,0.002330519735457938,-0.09183569796746144,22.5,"Uceta, Edwin",22.5,15.8,16.76,RP
970,670970,96.54080808080808,2479.1174089068827,87.04495412844037,2651.97247706422,0.0817018006564171,-0.01634388617778357,-0.04164731019547587,-0.0981623422520424,-0.249341764527382,-0.30804464392058856,-0.16699973699724763,-0.2962874736254818,13.222222222222221,"Morejon, Adrian",14.444444444444445,15.666666666666666,16.696969696969695,RP
971,670990,95.05868852459017,2290.7927631578946,95.33438596491227,2193.1864009378664,-0.06977116802328538,-0.11614319068007878,-0.019761505889860833,-0.03443216306110005,-0.061388978108315666,-0.27310022614280893,-0.11962746351806637,0.13330185919892612,11.736842105263158,"Ramirez, Yohan",13.789473684210526,11.966666666666667,13.15,RP
972,671096,92.72750263435195,2207.434460887949,80.87314814814815,2796.894080996885,0.1521231362191671,0.09744646724501296,0.12079455144520444,0.24577805756782067,-0.4212949784933508,-0.18625559782714315,-0.10720717391216002,-0.22258233946616882,74.28571428571429,"Abbott, Andrew",72.95238095238095,56.38095238095238,60.04761904761905,SP
973,671106,91.40072689511942,2149.7677083333333,82.7037527593819,894.0762331838565,0.23881217738686458,0.019964550139092648,0.24020918605280916,-0.03555736133766126,-0.15248877221648183,0.2277545295719571,-0.05156292790539736,-0.00732668381660791,62.666666666666664,"Allen, Logan",46.416666666666664,47.75,51.25,SP
974,671111,89.81617647058823,2121.7132352941176,81.73214285714286,1886.5928571428572,0.2741540222124029,0.11780766272785563,0.06065538982795486,-0.07975789661919701,-0.10447043059329403,0.023260117529204028,0.10868342966243649,-0.1306358700972831,15.6875,"Peralta, Sammy",17.5,12.266666666666667,16.2,RP
975,671131,95.78152866242036,2377.9617834394903,85.164,2008.5333333333333,0.03740431348616204,0.031222958368727377,-0.011881920170690731,0.19031243921668428,-0.5342513397845109,-0.2198097006142615,-0.4001537127316152,-0.10177077637083881,74.75,"Rutledge, Jackson",65.0,66.0,53.75,SP
976,671212,97.82285714285715,2424.8928571428573,87.92631578947368,2581.8947368421054,-0.04085738120758055,0.06089176291854818,-0.014512218189062743,0.008811782028910515,-0.37539296628367663,-0.19184978095712646,0.1945199944727001,-0.17066307820814297,65.0,"Boyle, Joe",63.666666666666664,55.333333333333336,45.333333333333336,SP
977,671345,96.13636363636364,2192.0272727272727,96.71295518207283,2029.4929971988795,0.246588926898594,0.13338404985403624,0.19617693635725258,0.05085918487299412,0.17779045920814915,-0.02432712879607467,0.07027763475658357,0.053219222540398965,14.2,"Foley, Jason",14.228571428571428,8.645390070921986,11.00709219858156,RP
